model,task,lang_a,lang_b,n_aligned,acc_a,acc_b,acc_diff,b_a_right_b_wrong,c_a_wrong_b_right,n_discordant,chi2,p_value,significant,direction,odds_ratio,cohens_h
gpt-oss-120b,code,ar,es,500,0.55,0.476,0.074,43,6,49,26.449,0.0,True,Arabic > Spanish,7.1667,0.1482
gpt-oss-120b,code,ar,fr,500,0.55,0.476,0.074,43,6,49,26.449,0.0,True,Arabic > French,7.1667,0.1482
gpt-oss-120b,code,ar,de,500,0.55,0.472,0.078,49,10,59,24.4746,1e-06,True,Arabic > German,4.9,0.1562
gpt-oss-120b,code,ar,en,500,0.55,0.484,0.066,40,7,47,21.7872,3e-06,True,Arabic > English,5.7143,0.1322
gpt-oss-120b,code,ar,fi,500,0.55,0.478,0.072,48,12,60,20.4167,6e-06,True,Arabic > Finnish,4.0,0.1442
gpt-oss-120b,code,ar,tr,500,0.55,0.486,0.064,43,11,54,17.7963,2.5e-05,True,Arabic > Turkish,3.9091,0.1282
gpt-oss-120b,code,ar,zh,500,0.55,0.488,0.062,42,11,53,16.9811,3.8e-05,True,Arabic > Chinese,3.8182,0.1242
gpt-oss-120b,code,ar,ko,500,0.55,0.492,0.058,40,11,51,15.3725,8.8e-05,True,Arabic > Korean,3.6364,0.1162
gpt-oss-120b,code,ar,hi,500,0.55,0.498,0.052,41,15,56,11.1607,0.000835,True,Arabic > Hindi,2.7333,0.1042
gpt-oss-120b,code,ar,sw,500,0.55,0.504,0.046,36,13,49,9.8776,0.001673,True,Arabic > Swahili,2.7692,0.0922
gpt-oss-120b,code,de,sw,500,0.472,0.504,-0.032,6,22,28,8.0357,0.004586,True,Swahili > German,0.2727,0.064
gpt-oss-120b,code,fr,sw,500,0.476,0.504,-0.028,6,20,26,6.5,0.010787,True,Swahili > French,0.3,0.056
gpt-oss-120b,code,es,sw,500,0.476,0.504,-0.028,10,24,34,4.9706,0.025782,True,Swahili > Spanish,0.4167,0.056
gpt-oss-120b,code,fi,sw,500,0.478,0.504,-0.026,11,24,35,4.1143,0.042522,True,Swahili > Finnish,0.4583,0.052
gpt-oss-120b,code,de,hi,500,0.472,0.498,-0.026,12,25,37,3.8919,0.04852,True,Hindi > German,0.48,0.052
gpt-oss-120b,code,fr,hi,500,0.476,0.498,-0.022,11,22,33,3.0303,0.081723,False,Hindi > French,0.5,0.044
gpt-oss-120b,code,en,sw,500,0.484,0.504,-0.02,10,20,30,2.7,0.100348,False,Swahili > English,0.5,0.04
gpt-oss-120b,code,de,ko,500,0.472,0.492,-0.02,11,21,32,2.5312,0.111612,False,Korean > German,0.5238,0.04
gpt-oss-120b,code,es,hi,500,0.476,0.498,-0.022,16,27,43,2.3256,0.127263,False,Hindi > Spanish,0.5926,0.044
gpt-oss-120b,code,fi,hi,500,0.478,0.498,-0.02,14,24,38,2.1316,0.144292,False,Hindi > Finnish,0.5833,0.04
gpt-oss-120b,code,sw,tr,500,0.504,0.486,0.018,20,11,31,2.0645,0.150763,False,Swahili > Turkish,1.8182,0.036
gpt-oss-120b,code,de,zh,500,0.472,0.488,-0.016,12,20,32,1.5312,0.215925,False,Chinese > German,0.6,0.032
gpt-oss-120b,code,sw,zh,500,0.504,0.488,0.016,20,12,32,1.5312,0.215925,False,Swahili > Chinese,1.6667,0.032
gpt-oss-120b,code,fr,ko,500,0.476,0.492,-0.016,14,22,36,1.3611,0.243345,False,Korean > French,0.6364,0.032
gpt-oss-120b,code,es,ko,500,0.476,0.492,-0.016,16,24,40,1.225,0.268382,False,Korean > Spanish,0.6667,0.032
gpt-oss-120b,code,en,hi,500,0.484,0.498,-0.014,13,20,33,1.0909,0.29627,False,Hindi > English,0.65,0.028
gpt-oss-120b,code,de,tr,500,0.472,0.486,-0.014,15,22,37,0.973,0.32394,False,Turkish > German,0.6818,0.028
gpt-oss-120b,code,fi,ko,500,0.478,0.492,-0.014,16,23,39,0.9231,0.336668,False,Korean > Finnish,0.6957,0.028
gpt-oss-120b,code,de,en,500,0.472,0.484,-0.012,12,18,30,0.8333,0.36131,False,English > German,0.6667,0.024
gpt-oss-120b,code,fr,zh,500,0.476,0.488,-0.012,13,19,32,0.7812,0.376759,False,Chinese > French,0.6842,0.024
gpt-oss-120b,code,ko,sw,500,0.492,0.504,-0.012,14,20,34,0.7353,0.391173,False,Swahili > Korean,0.7,0.024
gpt-oss-120b,code,es,zh,500,0.476,0.488,-0.012,16,22,38,0.6579,0.417304,False,Chinese > Spanish,0.7273,0.024
gpt-oss-120b,code,hi,tr,500,0.498,0.486,0.012,23,17,40,0.625,0.429195,False,Hindi > Turkish,1.3529,0.024
gpt-oss-120b,code,hi,zh,500,0.498,0.488,0.01,17,12,29,0.5517,0.457614,False,Hindi > Chinese,1.4167,0.02
gpt-oss-120b,code,fr,tr,500,0.476,0.486,-0.01,14,19,33,0.4848,0.486234,False,Turkish > French,0.7368,0.02
gpt-oss-120b,code,fi,zh,500,0.478,0.488,-0.01,17,22,39,0.4103,0.521839,False,Chinese > Finnish,0.7727,0.02
gpt-oss-120b,code,es,tr,500,0.476,0.486,-0.01,19,24,43,0.3721,0.541866,False,Turkish > Spanish,0.7917,0.02
gpt-oss-120b,code,en,fr,500,0.484,0.476,0.008,16,12,28,0.3214,0.57075,False,English > French,1.3333,0.016
gpt-oss-120b,code,en,ko,500,0.484,0.492,-0.008,17,21,38,0.2368,0.626496,False,Korean > English,0.8095,0.016
gpt-oss-120b,code,en,es,500,0.484,0.476,0.008,22,18,40,0.225,0.635256,False,English > Spanish,1.2222,0.016
gpt-oss-120b,code,fi,tr,500,0.478,0.486,-0.008,20,24,44,0.2045,0.651077,False,Turkish > Finnish,0.8333,0.016
gpt-oss-120b,code,hi,ko,500,0.498,0.492,0.006,18,15,33,0.1212,0.727724,False,Hindi > Korean,1.2,0.012
gpt-oss-120b,code,hi,sw,500,0.498,0.504,-0.006,15,18,33,0.1212,0.727724,False,Swahili > Hindi,0.8333,0.012
gpt-oss-120b,code,ko,tr,500,0.492,0.486,0.006,19,16,35,0.1143,0.735317,False,Korean > Turkish,1.1875,0.012
gpt-oss-120b,code,de,fi,500,0.472,0.478,-0.006,18,21,39,0.1026,0.748774,False,Finnish > German,0.8571,0.012
gpt-oss-120b,code,en,fi,500,0.484,0.478,0.006,22,19,41,0.0976,0.754776,False,English > Finnish,1.1579,0.012
gpt-oss-120b,code,de,fr,500,0.472,0.476,-0.004,14,16,30,0.0333,0.855132,False,French > German,0.875,0.008
gpt-oss-120b,code,en,zh,500,0.484,0.488,-0.004,15,17,32,0.0312,0.859684,False,Chinese > English,0.8824,0.008
gpt-oss-120b,code,ko,zh,500,0.492,0.488,0.004,17,15,32,0.0312,0.859684,False,Korean > Chinese,1.1333,0.008
gpt-oss-120b,code,es,fr,500,0.476,0.476,0.0,17,17,34,0.0294,0.863832,False,tie,1.0,0.0
gpt-oss-120b,code,de,es,500,0.472,0.476,-0.004,21,23,44,0.0227,0.880168,False,Spanish > German,0.913,0.008
gpt-oss-120b,code,en,tr,500,0.484,0.486,-0.002,18,19,37,0.0,1.0,False,Turkish > English,0.9474,0.004
gpt-oss-120b,code,es,fi,500,0.476,0.478,-0.002,22,23,45,0.0,1.0,False,Finnish > Spanish,0.9565,0.004
gpt-oss-120b,code,fi,fr,500,0.478,0.476,0.002,18,17,35,0.0,1.0,False,Finnish > French,1.0588,0.004
gpt-oss-120b,code,tr,zh,500,0.486,0.488,-0.002,19,20,39,0.0,1.0,False,Chinese > Turkish,0.95,0.004
gpt-oss-20b,code,fi,zh,500,0.494,0.41,0.084,56,14,70,24.0143,1e-06,True,Finnish > Chinese,4.0,0.169
gpt-oss-20b,code,en,zh,500,0.486,0.41,0.076,49,11,60,22.8167,2e-06,True,English > Chinese,4.4545,0.153
gpt-oss-20b,code,fi,ko,500,0.494,0.426,0.068,48,14,62,17.5645,2.8e-05,True,Finnish > Korean,3.4286,0.1365
gpt-oss-20b,code,en,ko,500,0.486,0.426,0.06,40,10,50,16.82,4.1e-05,True,English > Korean,4.0,0.1205
gpt-oss-20b,code,es,zh,500,0.474,0.41,0.064,48,16,64,15.0156,0.000107,True,Spanish > Chinese,3.0,0.129
gpt-oss-20b,code,ar,zh,500,0.472,0.41,0.062,51,20,71,12.6761,0.00037,True,Arabic > Chinese,2.55,0.125
gpt-oss-20b,code,de,fi,500,0.438,0.494,-0.056,19,47,66,11.0455,0.000889,True,Finnish > German,0.4043,0.1123
gpt-oss-20b,code,de,en,500,0.438,0.486,-0.048,15,39,54,9.7963,0.001749,True,English > German,0.3846,0.0963
gpt-oss-20b,code,sw,zh,500,0.468,0.41,0.058,55,26,81,9.679,0.001864,True,Swahili > Chinese,2.1154,0.1169
gpt-oss-20b,code,es,ko,500,0.474,0.426,0.048,41,17,58,9.1207,0.002527,True,Spanish > Korean,2.4118,0.0965
gpt-oss-20b,code,ar,ko,500,0.472,0.426,0.046,40,17,57,8.4912,0.003569,True,Arabic > Korean,2.3529,0.0925
gpt-oss-20b,code,fr,zh,500,0.458,0.41,0.048,45,21,66,8.0152,0.004639,True,French > Chinese,2.1429,0.0969
gpt-oss-20b,code,fi,tr,500,0.494,0.456,0.038,32,13,45,7.2,0.00729,True,Finnish > Turkish,2.4615,0.0761
gpt-oss-20b,code,hi,zh,500,0.458,0.41,0.048,49,25,74,7.1486,0.007502,True,Hindi > Chinese,1.96,0.0969
gpt-oss-20b,code,fi,fr,500,0.494,0.458,0.036,31,13,44,6.5682,0.010382,True,Finnish > French,2.3846,0.0721
gpt-oss-20b,code,tr,zh,500,0.456,0.41,0.046,49,26,75,6.4533,0.011074,True,Turkish > Chinese,1.8846,0.0929
gpt-oss-20b,code,ko,sw,500,0.426,0.468,-0.042,24,45,69,5.7971,0.016053,True,Swahili > Korean,0.5333,0.0845
gpt-oss-20b,code,fi,hi,500,0.494,0.458,0.036,37,19,56,5.1607,0.023103,True,Finnish > Hindi,1.9474,0.0721
gpt-oss-20b,code,en,fr,500,0.486,0.458,0.028,24,10,34,4.9706,0.025782,True,English > French,2.4,0.0561
gpt-oss-20b,code,en,tr,500,0.486,0.456,0.03,29,14,43,4.5581,0.032763,True,English > Turkish,2.0714,0.0601
gpt-oss-20b,code,de,es,500,0.438,0.474,-0.036,24,42,66,4.3788,0.036389,True,Spanish > German,0.5714,0.0723
gpt-oss-20b,code,ar,de,500,0.472,0.438,0.034,39,22,61,4.1967,0.040502,True,Arabic > German,1.7727,0.0683
gpt-oss-20b,code,fr,ko,500,0.458,0.426,0.032,35,19,54,4.1667,0.041227,True,French > Korean,1.8421,0.0644
gpt-oss-20b,code,en,hi,500,0.486,0.458,0.028,28,14,42,4.0238,0.044862,True,English > Hindi,2.0,0.0561
gpt-oss-20b,code,hi,ko,500,0.458,0.426,0.032,41,25,66,3.4091,0.064838,False,Hindi > Korean,1.64,0.0644
gpt-oss-20b,code,ko,tr,500,0.426,0.456,-0.03,26,41,67,2.9254,0.087197,False,Turkish > Korean,0.6341,0.0604
gpt-oss-20b,code,de,sw,500,0.438,0.468,-0.03,30,45,75,2.6133,0.105969,False,Swahili > German,0.6667,0.0603
gpt-oss-20b,code,fi,sw,500,0.494,0.468,0.026,35,22,57,2.5263,0.111961,False,Finnish > Swahili,1.5909,0.052
gpt-oss-20b,code,ar,fi,500,0.472,0.494,-0.022,16,27,43,2.3256,0.127263,False,Finnish > Arabic,0.5926,0.044
gpt-oss-20b,code,de,zh,500,0.438,0.41,0.028,48,34,82,2.061,0.151113,False,German > Chinese,1.4118,0.0567
gpt-oss-20b,code,es,fi,500,0.474,0.494,-0.02,17,27,44,1.8409,0.174844,False,Finnish > Spanish,0.6296,0.04
gpt-oss-20b,code,de,fr,500,0.438,0.458,-0.02,23,33,56,1.4464,0.229102,False,French > German,0.697,0.0402
gpt-oss-20b,code,es,fr,500,0.474,0.458,0.016,21,13,34,1.4412,0.229949,False,Spanish > French,1.6154,0.0321
gpt-oss-20b,code,en,sw,500,0.486,0.468,0.018,27,18,45,1.4222,0.233038,False,English > Swahili,1.5,0.036
gpt-oss-20b,code,es,tr,500,0.474,0.456,0.018,32,23,55,1.1636,0.280713,False,Spanish > Turkish,1.3913,0.0361
