model,task,lang_a,lang_b,n_aligned,acc_a,acc_b,acc_diff,b_a_right_b_wrong,c_a_wrong_b_right,n_discordant,chi2,p_value,significant,direction,odds_ratio,cohens_h
gpt-oss-120b,code,ar,en,500,0.55,0.484,0.066,40,7,47,21.7872,3e-06,True,Arabic > English,5.7143,0.1322
gpt-oss-120b,code,en,sw,500,0.484,0.504,-0.02,10,20,30,2.7,0.100348,False,Swahili > English,0.5,0.04
gpt-oss-120b,code,en,hi,500,0.484,0.498,-0.014,13,20,33,1.0909,0.29627,False,Hindi > English,0.65,0.028
gpt-oss-120b,code,de,en,500,0.472,0.484,-0.012,12,18,30,0.8333,0.36131,False,English > German,0.6667,0.024
gpt-oss-120b,code,en,fr,500,0.484,0.476,0.008,16,12,28,0.3214,0.57075,False,English > French,1.3333,0.016
gpt-oss-120b,code,en,ko,500,0.484,0.492,-0.008,17,21,38,0.2368,0.626496,False,Korean > English,0.8095,0.016
gpt-oss-120b,code,en,es,500,0.484,0.476,0.008,22,18,40,0.225,0.635256,False,English > Spanish,1.2222,0.016
gpt-oss-120b,code,en,fi,500,0.484,0.478,0.006,22,19,41,0.0976,0.754776,False,English > Finnish,1.1579,0.012
gpt-oss-120b,code,en,zh,500,0.484,0.488,-0.004,15,17,32,0.0312,0.859684,False,Chinese > English,0.8824,0.008
gpt-oss-120b,code,en,tr,500,0.484,0.486,-0.002,18,19,37,0.0,1.0,False,Turkish > English,0.9474,0.004
gpt-oss-20b,code,en,zh,500,0.486,0.41,0.076,49,11,60,22.8167,2e-06,True,English > Chinese,4.4545,0.153
gpt-oss-20b,code,en,ko,500,0.486,0.426,0.06,40,10,50,16.82,4.1e-05,True,English > Korean,4.0,0.1205
gpt-oss-20b,code,de,en,500,0.438,0.486,-0.048,15,39,54,9.7963,0.001749,True,English > German,0.3846,0.0963
gpt-oss-20b,code,en,fr,500,0.486,0.458,0.028,24,10,34,4.9706,0.025782,True,English > French,2.4,0.0561
gpt-oss-20b,code,en,tr,500,0.486,0.456,0.03,29,14,43,4.5581,0.032763,True,English > Turkish,2.0714,0.0601
gpt-oss-20b,code,en,hi,500,0.486,0.458,0.028,28,14,42,4.0238,0.044862,True,English > Hindi,2.0,0.0561
gpt-oss-20b,code,en,sw,500,0.486,0.468,0.018,27,18,45,1.4222,0.233038,False,English > Swahili,1.5,0.036
gpt-oss-20b,code,ar,en,500,0.472,0.486,-0.014,14,21,35,1.0286,0.310494,False,English > Arabic,0.6667,0.028
gpt-oss-20b,code,en,es,500,0.486,0.474,0.012,21,15,36,0.6944,0.404657,False,English > Spanish,1.4,0.024
gpt-oss-20b,code,en,fi,500,0.486,0.494,-0.008,17,21,38,0.2368,0.626496,False,Finnish > English,0.8095,0.016
llama3.1-8b,code,en,sw,500,0.386,0.244,0.142,82,11,93,52.6882,0.0,True,English > Swahili,7.4545,0.3075
llama3.1-8b,code,de,en,500,0.294,0.386,-0.092,21,67,88,23.0114,2e-06,True,English > German,0.3134,0.1946
llama3.1-8b,code,en,tr,500,0.386,0.3,0.086,64,21,85,20.7529,5e-06,True,English > Turkish,3.0476,0.1815
llama3.1-8b,code,en,hi,500,0.386,0.302,0.084,66,24,90,18.6778,1.5e-05,True,English > Hindi,2.75,0.1771
llama3.1-8b,code,en,ko,500,0.386,0.312,0.074,56,19,75,17.28,3.2e-05,True,English > Korean,2.9474,0.1555
llama3.1-8b,code,ar,en,500,0.298,0.386,-0.088,32,76,108,17.1204,3.5e-05,True,English > Arabic,0.4211,0.1859
llama3.1-8b,code,en,fr,500,0.386,0.328,0.058,52,23,75,10.4533,0.001224,True,English > French,2.2609,0.1212
llama3.1-8b,code,en,es,500,0.386,0.332,0.054,57,30,87,7.7701,0.005312,True,English > Spanish,1.9,0.1126
llama3.1-8b,code,en,zh,500,0.386,0.344,0.042,45,24,69,5.7971,0.016053,True,English > Chinese,1.875,0.0873
llama3.1-8b,code,en,fi,500,0.386,0.342,0.044,56,34,90,4.9,0.026857,True,English > Finnish,1.6471,0.0915
llama3.3-70b,code,en,tr,500,0.994,0.932,0.062,33,2,35,25.7143,0.0,True,English > Turkish,16.5,0.3726
llama3.3-70b,code,en,hi,500,0.994,0.942,0.052,28,2,30,20.8333,5e-06,True,English > Hindi,14.0,0.3314
llama3.3-70b,code,en,sw,500,0.994,0.954,0.04,21,1,22,16.4091,5.1e-05,True,English > Swahili,21.0,0.2772
llama3.3-70b,code,ar,en,500,0.966,0.994,-0.028,2,16,18,9.3889,0.002183,True,English > Arabic,0.125,0.2158
llama3.3-70b,code,en,zh,500,0.994,0.968,0.026,15,2,17,8.4706,0.003609,True,English > Chinese,7.5,0.2046
llama3.3-70b,code,en,es,500,0.994,0.972,0.022,13,2,15,6.6667,0.009823,True,English > Spanish,6.5,0.1812
llama3.3-70b,code,en,ko,500,0.994,0.976,0.018,11,2,13,4.9231,0.0265,True,English > Korean,5.5,0.156
llama3.3-70b,code,de,en,500,0.994,0.994,0.0,2,2,4,0.25,0.617075,False,tie,1.0,0.0
llama3.3-70b,code,en,fr,500,0.994,0.994,0.0,2,2,4,0.25,0.617075,False,tie,1.0,0.0
llama3.3-70b,code,en,fi,500,0.994,0.992,0.002,4,3,7,0.0,1.0,False,English > Finnish,1.3333,0.0241
llama4-scout,code,en,fr,500,0.354,0.448,-0.094,21,68,89,23.7753,1e-06,True,French > English,0.3088,0.1921
llama4-scout,code,en,es,500,0.354,0.442,-0.088,23,67,90,20.5444,6e-06,True,Spanish > English,0.3433,0.1801
llama4-scout,code,en,sw,500,0.354,0.436,-0.082,31,72,103,15.534,8.1e-05,True,Swahili > English,0.4306,0.168
