model,task,target_lang,total,match,accuracy
gpt-oss-120b,code,ar,500,500,1.0
gpt-oss-120b,code,de,500,500,1.0
gpt-oss-120b,code,en,500,500,1.0
gpt-oss-120b,code,es,500,500,1.0
gpt-oss-120b,code,fi,500,500,1.0
gpt-oss-120b,code,fr,500,500,1.0
gpt-oss-120b,code,hi,500,500,1.0
gpt-oss-120b,code,ko,500,500,1.0
gpt-oss-120b,code,sw,500,500,1.0
gpt-oss-120b,code,tr,500,500,1.0
gpt-oss-120b,code,zh,500,500,1.0
gpt-oss-120b,commonsense,ar,500,500,1.0
gpt-oss-120b,commonsense,de,500,500,1.0
gpt-oss-120b,commonsense,en,500,500,1.0
gpt-oss-120b,commonsense,es,500,500,1.0
gpt-oss-120b,commonsense,fi,500,500,1.0
gpt-oss-120b,commonsense,fr,500,500,1.0
gpt-oss-120b,commonsense,hi,500,499,0.998
gpt-oss-120b,commonsense,ko,500,500,1.0
gpt-oss-120b,commonsense,sw,500,500,1.0
gpt-oss-120b,commonsense,tr,500,500,1.0
gpt-oss-120b,commonsense,zh,500,500,1.0
gpt-oss-120b,math,ar,500,500,1.0
gpt-oss-120b,math,de,500,500,1.0
gpt-oss-120b,math,en,500,500,1.0
gpt-oss-120b,math,es,500,498,0.996
gpt-oss-120b,math,fi,500,500,1.0
gpt-oss-120b,math,fr,500,499,0.998
gpt-oss-120b,math,hi,500,490,0.98
gpt-oss-120b,math,ko,500,499,0.998
gpt-oss-120b,math,sw,500,500,1.0
gpt-oss-120b,math,tr,500,500,1.0
gpt-oss-120b,math,zh,500,500,1.0
gpt-oss-20b,code,ar,500,500,1.0
gpt-oss-20b,code,de,500,500,1.0
gpt-oss-20b,code,en,499,499,1.0
gpt-oss-20b,code,es,500,500,1.0
gpt-oss-20b,code,fi,500,500,1.0
gpt-oss-20b,code,fr,500,500,1.0
gpt-oss-20b,code,hi,500,500,1.0
gpt-oss-20b,code,ko,500,499,0.998
gpt-oss-20b,code,sw,499,499,1.0
gpt-oss-20b,code,tr,500,500,1.0
gpt-oss-20b,code,zh,500,500,1.0
gpt-oss-20b,commonsense,ar,500,499,0.998
gpt-oss-20b,commonsense,de,500,497,0.994
